num,if_success
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,1
