num,if_success
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,0
