num,if_success
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
