num,if_success
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
