num,if_success
0,1
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
